[07/09/2021-20:45:01]	[PLACED]	[07/09/2021-20:45:01]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <6097.657227, 43.451405, 3000.978027>, Target: MoreDoorSmall | Player: iNSANE [76561198167062860]
[07/09/2021-20:45:05]	[ARMED]		[07/09/2021-20:45:05]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <6098.426758, 43.975304, 2999.532959>, Target: MoreDoorSmall | Player: iNSANE [76561198167062860]
[07/09/2021-20:55:05]	[EXPLODED]	[07/09/2021-20:55:05]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <6098.426758, 43.975304, 2999.532959>, Target: MoreDoorSmall, Damage done: 1 | Player: iNSANE [76561198167062860]
[07/09/2021-20:55:05]	[DESTROYED]	[07/09/2021-20:55:05]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <6098.426758, 43.975304, 2999.532959>, Target: MoreDoorSmall | Player: iNSANE [76561198167062860]
[07/09/2021-20:58:05]	[PLACED]	[07/09/2021-20:58:05]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6098.877441, 43.266510, 2992.053223>, Target: MoreDoorSmallMetal | Player: iNSANE [76561198167062860]
[07/09/2021-20:58:58]	[ARMED]		[07/09/2021-20:58:58]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6099.911621, 43.682285, 2992.714844>, Target: MoreDoorSmallMetal | Player: iNSANE [76561198167062860]
[07/09/2021-21:03:58]	[EXPLODED]	[07/09/2021-21:03:58]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <6099.911621, 43.682285, 2992.714844>, Target: MoreDoorSmallMetal, Damage done: 2 | Player: iNSANE [76561198167062860]
[07/09/2021-21:03:58]	[DESTROYED]	[07/09/2021-21:03:58]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <6099.911621, 43.682285, 2992.714844>, Target: MoreDoorSmallMetal | Player: iNSANE [76561198167062860]
[07/09/2021-21:08:46]	[PLACED]	[07/09/2021-21:08:46]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6101.640137, 46.409191, 2997.069336>, Target: Fence_Gate | Player: iNSANE [76561198167062860]
[07/09/2021-21:08:53]	[ARMED]		[07/09/2021-21:08:53]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6099.953613, 46.982037, 2997.676270>, Target: Fence_Gate | Player: iNSANE [76561198167062860]
[07/09/2021-21:13:53]	[EXPLODED]	[07/09/2021-21:13:53]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <6099.953613, 46.982037, 2997.676270>, Target: Fence_Gate, Damage done: 2 | Player: iNSANE [76561198167062860]
[07/09/2021-21:13:53]	[DESTROYED]	[07/09/2021-21:13:53]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <6099.953613, 46.982037, 2997.676270>, Target: Fence_Gate | Player: iNSANE [76561198167062860]
