[11/09/2021-23:41:46]	[PLACED]	[11/09/2021-23:41:46]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3582.014404, 19.459372, 2170.941650>, Target: Fence_Gate | Player: mooimadog [76561198086263481]
[11/09/2021-23:41:54]	[ARMED]		[11/09/2021-23:41:54]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3582.689209, 19.997032, 2170.407715>, Target: Fence_Gate | Player: mooimadog [76561198086263481]
[11/09/2021-23:43:53]	[PLACED]	[11/09/2021-23:43:53]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3582.730225, 10.520293, 2176.540527>, Target: Fence_Gate | Player: mooimadog [76561198086263481]
[11/09/2021-23:43:57]	[ARMED]		[11/09/2021-23:43:57]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3583.457764, 10.855566, 2177.330566>, Target: Fence_Gate | Player: mooimadog [76561198086263481]
[11/09/2021-23:44:16]	[PLACED]	[11/09/2021-23:44:16]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3582.950439, 10.523549, 2176.538086>, Target: Fence_Gate | Player: mooimadog [76561198086263481]
[11/09/2021-23:44:20]	[ARMED]		[11/09/2021-23:44:20]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3583.447510, 11.301751, 2177.360107>, Target: Fence_Gate | Player: mooimadog [76561198086263481]
[11/09/2021-23:46:54]	[EXPLODED]	[11/09/2021-23:46:54]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3582.689209, 19.997032, 2170.407715>, Target: Fence_Gate, Damage done: 2 | Player: mooimadog [76561198086263481]
[11/09/2021-23:46:54]	[DESTROYED]	[11/09/2021-23:46:54]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3582.689209, 19.997032, 2170.407715>, Target: Fence_Gate | Player: mooimadog [76561198086263481]
[11/09/2021-23:48:57]	[EXPLODED]	[11/09/2021-23:48:57]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3583.457764, 10.855566, 2177.330566>, Target: Fence_Gate, Damage done: 2 | Player: mooimadog [76561198086263481]
[11/09/2021-23:48:57]	[DESTROYED]	[11/09/2021-23:48:57]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3583.457764, 10.855566, 2177.330566>, Target: Fence_Gate | Player: mooimadog [76561198086263481]
[11/09/2021-23:49:20]	[EXPLODED]	[11/09/2021-23:49:20]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3583.447510, 11.301751, 2177.360107>, Target: Fence_Gate, Damage done: 2 | Player: mooimadog [76561198086263481]
[11/09/2021-23:49:20]	[DESTROYED]	[11/09/2021-23:49:20]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3583.447510, 11.301751, 2177.360107>, Target: Fence_Gate | Player: mooimadog [76561198086263481]
