[11/10/2021-02:23:34]	[PLACED]	[11/10/2021-02:23:34]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <3588.748291, 6.856524, 2194.827393>, Target: Fence_Gate | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-02:23:37]	[ARMED]		[11/10/2021-02:23:37]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <3587.493896, 7.138722, 2194.279297>, Target: Fence_Gate | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-02:33:37]	[EXPLODED]	[11/10/2021-02:33:37]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <3587.493896, 7.138722, 2194.279297>, Target: Fence_Gate, Damage done: 1 | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-02:33:37]	[DESTROYED]	[11/10/2021-02:33:37]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <3587.493896, 7.138722, 2194.279297>, Target: Fence_Gate | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-02:34:55]	[PLACED]	[11/10/2021-02:34:55]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3582.789795, 6.771116, 2195.031250>, Target: Fence_Gate_Metal | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-02:34:58]	[ARMED]		[11/10/2021-02:34:58]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3584.129883, 7.036806, 2194.857178>, Target: Fence_Gate_Metal | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-02:39:58]	[EXPLODED]	[11/10/2021-02:39:58]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3584.129883, 7.036806, 2194.857178>, Target: Fence_Gate_Metal, Damage done: 2 | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-02:39:58]	[DESTROYED]	[11/10/2021-02:39:58]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3584.129883, 7.036806, 2194.857178>, Target: Fence_Gate_Metal | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-02:56:28]	[PLACED]	[11/10/2021-02:56:28]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <3597.328369, 7.129229, 2162.984863>, Target: Fence_Gate | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-02:56:31]	[ARMED]		[11/10/2021-02:56:31]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <3595.700439, 7.988141, 2162.322510>, Target: Fence_Gate | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-03:06:31]	[EXPLODED]	[11/10/2021-03:06:31]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <3595.700439, 7.988141, 2162.322510>, Target: Fence_Gate, Damage done: 1 | Player: (Brodie) BostonGeorge [76561198877259635]
[11/10/2021-03:06:31]	[DESTROYED]	[11/10/2021-03:06:31]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <3595.700439, 7.988141, 2162.322510>, Target: Fence_Gate | Player: (Brodie) BostonGeorge [76561198877259635]
