[12/10/2021-22:50:50]	[PLACED]	[12/10/2021-22:50:50]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <3804.484863, 312.903839, 8913.076172>, Target: MoreDoorSmall | Player: SonJd [76561198214438271]
[12/10/2021-22:50:54]	[ARMED]		[12/10/2021-22:50:54]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <3803.242920, 313.264648, 8912.905273>, Target: MoreDoorSmall | Player: SonJd [76561198214438271]
[12/10/2021-23:00:54]	[EXPLODED]	[12/10/2021-23:00:54]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <3803.242920, 313.264648, 8912.905273>, Target: MoreDoorSmall, Damage done: 1 | Player: SonJd [76561198214438271]
[12/10/2021-23:00:54]	[DESTROYED]	[12/10/2021-23:00:54]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <3803.242920, 313.264648, 8912.905273>, Target: MoreDoorSmall | Player: SonJd [76561198214438271]
[12/10/2021-23:09:04]	[PLACED]	[12/10/2021-23:09:04]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <12899.758789, 21.105909, 6266.486816>, Target: MoreDoorSmallShanty | Player: FN [76561197968480277]
[12/10/2021-23:09:11]	[ARMED]		[12/10/2021-23:09:11]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <12898.494141, 21.433012, 6264.651855>, Target: MoreDoorSmallShanty | Player: FN [76561197968480277]
[12/10/2021-23:14:11]	[EXPLODED]	[12/10/2021-23:14:11]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <12898.494141, 21.433012, 6264.651855>, Target: MoreDoorSmallShanty, Damage done: 2 | Player: FN [76561197968480277]
[12/10/2021-23:14:11]	[DESTROYED]	[12/10/2021-23:14:11]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <12898.494141, 21.433012, 6264.651855>, Target: MoreDoorSmallShanty | Player: FN [76561197968480277]
[12/10/2021-23:55:19]	[PLACED]	[12/10/2021-23:55:19]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3803.682617, 311.767151, 8921.247070>, Target: Fence_Gate | Player: SoloSpicy [76561198093692763]
[12/10/2021-23:55:26]	[ARMED]		[12/10/2021-23:55:26]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3803.627686, 311.998962, 8919.799805>, Target: Fence_Gate | Player: SoloSpicy [76561198093692763]
[13/10/2021-00:00:26]	[EXPLODED]	[13/10/2021-00:00:26]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3803.627686, 311.998962, 8919.799805>, Target: Fence_Gate, Damage done: 2 | Player: SoloSpicy [76561198093692763]
[13/10/2021-00:00:26]	[DESTROYED]	[13/10/2021-00:00:26]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3803.627686, 311.998962, 8919.799805>, Target: Fence_Gate | Player: SoloSpicy [76561198093692763]
