[15/10/2021-19:34:40]	[PLACED]	[15/10/2021-19:34:40]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <5705.249023, 72.681183, 2583.135010>, Target: Fence_Gate | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-19:34:44]	[ARMED]		[15/10/2021-19:34:44]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <5706.217773, 73.478386, 2583.994385>, Target: Fence_Gate | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-19:44:44]	[EXPLODED]	[15/10/2021-19:44:44]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <5706.217773, 73.478386, 2583.994385>, Target: Fence_Gate, Damage done: 1 | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-19:44:44]	[DESTROYED]	[15/10/2021-19:44:44]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <5706.217773, 73.478386, 2583.994385>, Target: Fence_Gate | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-20:55:15]	[PLACED]	[15/10/2021-20:55:15]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3833.197021, 312.141174, 8914.122070>, Target: Fence_Gate | Player: iNSANE [76561198167062860]
[15/10/2021-20:55:20]	[ARMED]		[15/10/2021-20:55:20]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3834.906006, 312.782440, 8914.211914>, Target: Fence_Gate | Player: iNSANE [76561198167062860]
[15/10/2021-21:00:20]	[EXPLODED]	[15/10/2021-21:00:20]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3834.906006, 312.782440, 8914.211914>, Target: Fence_Gate, Damage done: 2 | Player: iNSANE [76561198167062860]
[15/10/2021-21:00:20]	[DESTROYED]	[15/10/2021-21:00:20]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3834.906006, 312.782440, 8914.211914>, Target: Fence_Gate | Player: iNSANE [76561198167062860]
[15/10/2021-21:03:15]	[PLACED]	[15/10/2021-21:03:15]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3835.288574, 312.236237, 8913.104492>, Target: Fence_Gate | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-21:03:20]	[ARMED]		[15/10/2021-21:03:20]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3836.156250, 313.083160, 8912.828125>, Target: Fence_Gate | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-21:08:20]	[EXPLODED]	[15/10/2021-21:08:20]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3836.156250, 313.083160, 8912.828125>, Target: Fence_Gate, Damage done: 2 | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-21:08:20]	[DESTROYED]	[15/10/2021-21:08:20]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3836.156250, 313.083160, 8912.828125>, Target: Fence_Gate | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-21:22:42]	[PLACED]	[15/10/2021-21:22:42]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <4067.630371, 325.186249, 8931.178711>, Target: Fence_Gate | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-21:22:47]	[ARMED]		[15/10/2021-21:22:47]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <4068.157959, 325.932068, 8930.134766>, Target: Fence_Gate | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-21:27:47]	[EXPLODED]	[15/10/2021-21:27:47]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <4068.157959, 325.932068, 8930.134766>, Target: Fence_Gate, Damage done: 2 | Player: HAUNTxURxDREAMS [76561199166899329]
[15/10/2021-21:27:47]	[DESTROYED]	[15/10/2021-21:27:47]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <4068.157959, 325.932068, 8930.134766>, Target: Fence_Gate | Player: HAUNTxURxDREAMS [76561199166899329]
