[16/09/2021-10:01:34]	[PLACED]	[16/09/2021-10:01:34]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <8250.843750, 354.753357, 6992.942383>, Target: Fence_Gate | Player: Kaleb [76561198892748368]
[16/09/2021-10:01:39]	[ARMED]		[16/09/2021-10:01:39]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <8251.377930, 355.136841, 6991.635742>, Target: Fence_Gate | Player: Kaleb [76561198892748368]
[16/09/2021-10:11:39]	[EXPLODED]	[16/09/2021-10:11:39]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <8251.377930, 355.136841, 6991.635742>, Target: Fence_Gate, Damage done: 1 | Player: Kaleb [76561198892748368]
[16/09/2021-10:11:39]	[DESTROYED]	[16/09/2021-10:11:39]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <8251.377930, 355.136841, 6991.635742>, Target: Fence_Gate | Player: Kaleb [76561198892748368]
[16/09/2021-10:12:26]	[PLACED]	[16/09/2021-10:12:26]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <8249.115234, 354.874390, 6988.537598>, Target: Fence_Gate | Player: Kaleb [76561198892748368]
[16/09/2021-10:12:29]	[ARMED]		[16/09/2021-10:12:29]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <8249.924805, 355.532318, 6987.038574>, Target: Fence_Gate | Player: Kaleb [76561198892748368]
[16/09/2021-10:22:29]	[EXPLODED]	[16/09/2021-10:22:29]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <8249.924805, 355.532318, 6987.038574>, Target: Fence_Gate, Damage done: 1 | Player: Kaleb [76561198892748368]
[16/09/2021-10:22:29]	[DESTROYED]	[16/09/2021-10:22:29]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <8249.924805, 355.532318, 6987.038574>, Target: Fence_Gate | Player: Kaleb [76561198892748368]
[16/09/2021-10:25:21]	[PLACED]	[16/09/2021-10:25:21]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <8249.323242, 355.060089, 6981.067383>, Target: Fence_Gate | Player: Kaleb [76561198892748368]
[16/09/2021-10:25:24]	[ARMED]		[16/09/2021-10:25:24]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <8251.161133, 355.687164, 6981.475586>, Target: Fence_Gate | Player: Kaleb [76561198892748368]
[16/09/2021-10:35:24]	[EXPLODED]	[16/09/2021-10:35:24]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <8251.161133, 355.687164, 6981.475586>, Target: Fence_Gate, Damage done: 1 | Player: Kaleb [76561198892748368]
[16/09/2021-10:35:24]	[DESTROYED]	[16/09/2021-10:35:24]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <8251.161133, 355.687164, 6981.475586>, Target: Fence_Gate | Player: Kaleb [76561198892748368]
