[16/09/2021-21:11:59]	[PLACED]	[16/09/2021-21:11:59]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <4067.979492, 325.244171, 8931.855469>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:12:05]	[ARMED]		[16/09/2021-21:12:05]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <4068.628174, 325.975555, 8930.207031>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:22:05]	[EXPLODED]	[16/09/2021-21:22:05]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <4068.628174, 325.975555, 8930.207031>, Target: Fence_Gate, Damage done: 1 | Player: SonJd [76561198214438271]
[16/09/2021-21:22:05]	[DESTROYED]	[16/09/2021-21:22:05]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <4068.628174, 325.975555, 8930.207031>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:24:01]	[PLACED]	[16/09/2021-21:24:01]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <4068.502930, 325.410583, 8927.822266>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:24:05]	[ARMED]		[16/09/2021-21:24:05]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <4066.960205, 326.013855, 8927.310547>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:34:05]	[EXPLODED]	[16/09/2021-21:34:05]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <4066.960205, 326.013855, 8927.310547>, Target: Fence_Gate, Damage done: 1 | Player: SonJd [76561198214438271]
[16/09/2021-21:34:05]	[DESTROYED]	[16/09/2021-21:34:05]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <4066.960205, 326.013855, 8927.310547>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:35:14]	[PLACED]	[16/09/2021-21:35:14]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <4064.758301, 325.410645, 8927.317383>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:35:17]	[ARMED]		[16/09/2021-21:35:17]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <4065.509766, 325.801697, 8926.126953>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:45:17]	[EXPLODED]	[16/09/2021-21:45:17]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <4065.509766, 325.801697, 8926.126953>, Target: Fence_Gate, Damage done: 1 | Player: SonJd [76561198214438271]
[16/09/2021-21:45:17]	[DESTROYED]	[16/09/2021-21:45:17]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <4065.509766, 325.801697, 8926.126953>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:46:20]	[PLACED]	[16/09/2021-21:46:20]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <4065.450439, 325.412994, 8921.924805>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:46:24]	[ARMED]		[16/09/2021-21:46:24]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <4066.452393, 325.873260, 8922.631836>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[16/09/2021-21:56:24]	[EXPLODED]	[16/09/2021-21:56:24]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <4066.452393, 325.873260, 8922.631836>, Target: Fence_Gate, Damage done: 1 | Player: SonJd [76561198214438271]
[16/09/2021-21:56:24]	[DESTROYED]	[16/09/2021-21:56:24]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <4066.452393, 325.873260, 8922.631836>, Target: Fence_Gate | Player: SonJd [76561198214438271]
