[17/09/2021-13:29:06]	[PLACED]	[17/09/2021-13:29:06]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3642.331299, 298.921539, 8061.080566>, Target: MoreDoorSmallMetal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-13:29:41]	[PLACED]	[17/09/2021-13:29:41]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3641.794678, 298.926422, 8060.725098>, Target: MoreDoorSmallMetal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-13:29:50]	[ARMED]		[17/09/2021-13:29:50]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3640.619629, 298.783478, 8060.515137>, Target: MoreDoorSmallMetal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-13:34:50]	[EXPLODED]	[17/09/2021-13:34:50]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3640.619629, 298.783478, 8060.515137>, Target: MoreDoorSmallMetal, Damage done: 2 | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-13:34:50]	[DESTROYED]	[17/09/2021-13:34:50]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3640.619629, 298.783478, 8060.515137>, Target: MoreDoorSmallMetal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:22:26]	[PLACED]	[17/09/2021-14:22:26]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3861.630615, 312.295074, 8956.140625>, Target: MoreDoorSmallMetal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:22:36]	[ARMED]		[17/09/2021-14:22:36]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3861.545166, 312.353394, 8954.799805>, Target: MoreDoorSmallMetal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:27:36]	[EXPLODED]	[17/09/2021-14:27:36]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3861.545166, 312.353394, 8954.799805>, Target: MoreDoorSmallMetal, Damage done: 2 | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:27:36]	[DESTROYED]	[17/09/2021-14:27:36]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3861.545166, 312.353394, 8954.799805>, Target: MoreDoorSmallMetal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:28:24]	[PLACED]	[17/09/2021-14:28:24]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <3859.353516, 312.463318, 8951.613281>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:28:27]	[ARMED]		[17/09/2021-14:28:27]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <3859.403076, 312.292603, 8950.242188>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:38:27]	[EXPLODED]	[17/09/2021-14:38:27]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <3859.403076, 312.292603, 8950.242188>, Target: Fence_Gate_Metal, Damage done: 1 | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:39:11]	[PLACED]	[17/09/2021-14:39:11]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <3859.455322, 312.384857, 8952.088867>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:39:14]	[ARMED]		[17/09/2021-14:39:14]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <3859.309082, 312.273254, 8950.291016>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:49:14]	[EXPLODED]	[17/09/2021-14:49:14]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <3859.309082, 312.273254, 8950.291016>, Target: Fence_Gate_Metal, Damage done: 1 | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-14:49:14]	[DESTROYED]	[17/09/2021-14:49:14]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <3859.309082, 312.273254, 8950.291016>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-15:19:22]	[PLACED]	[17/09/2021-15:19:22]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3855.492432, 315.140533, 8942.368164>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-15:19:27]	[ARMED]		[17/09/2021-15:19:27]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3855.512207, 315.294769, 8943.597656>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-15:24:27]	[EXPLODED]	[17/09/2021-15:24:27]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3855.512207, 315.294769, 8943.597656>, Target: Fence_Gate_Metal, Damage done: 2 | Player: ^DBD^ Maxo [76561198148661627]
[17/09/2021-15:24:27]	[DESTROYED]	[17/09/2021-15:24:27]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3855.512207, 315.294769, 8943.597656>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
