[21/10/2021-18:39:51]	[PLACED]	[21/10/2021-18:39:51]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3589.478760, 6.771084, 2195.689697>, Target: SimpleBaseGate_Logs_Metal | Player: o [76561199068832255]
[21/10/2021-18:40:11]	[PLACED]	[21/10/2021-18:40:11]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3589.033447, 6.771141, 2197.700928>, Target: SimpleBaseGate_Logs_Metal | Player: o [76561199068832255]
[21/10/2021-18:40:21]	[ARMED]		[21/10/2021-18:40:21]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3587.750488, 6.930472, 2196.273193>, Target: SimpleBaseGate_Logs_Metal | Player: o [76561199068832255]
[21/10/2021-18:40:23]	[ARMED]		[21/10/2021-18:40:23]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3588.551025, 7.668416, 2194.340820>, Target: SimpleBaseGate_Logs_Metal | Player: o [76561199068832255]
[21/10/2021-18:45:21]	[EXPLODED]	[21/10/2021-18:45:21]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3587.750488, 6.930472, 2196.273193>, Target: SimpleBaseGate_Logs_Metal, Damage done: 2 | Player: o [76561199068832255]
[21/10/2021-18:45:23]	[EXPLODED]	[21/10/2021-18:45:23]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3588.551025, 7.668416, 2194.340820>, Target: SimpleBaseGate_Logs_Metal, Damage done: 2 | Player: o [76561199068832255]
[21/10/2021-18:45:23]	[DESTROYED]	[21/10/2021-18:45:23]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3588.551025, 7.668416, 2194.340820>, Target: SimpleBaseGate_Logs_Metal | Player: o [76561199068832255]
[21/10/2021-18:45:32]	[PLACED]	[21/10/2021-18:45:32]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3584.402588, 6.771067, 2196.021484>, Target: Fence_Gate_Metal | Player: o [76561199068832255]
[21/10/2021-18:45:37]	[ARMED]		[21/10/2021-18:45:37]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3585.032715, 7.398689, 2194.494629>, Target: Fence_Gate_Metal | Player: o [76561199068832255]
[21/10/2021-18:49:49]	[PLACED]	[21/10/2021-18:49:49]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3585.151367, 6.771060, 2188.508545>, Target: MoreDoorVault | Player: o [76561199068832255]
[21/10/2021-18:50:10]	[PLACED]	[21/10/2021-18:50:10]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3585.151367, 6.771060, 2188.508545>, Target: MoreDoorVault | Player: o [76561199068832255]
[21/10/2021-18:50:30]	[PLACED]	[21/10/2021-18:50:30]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <3584.288086, 6.771119, 2188.562500>, Target: MoreDoorVault | Player: o [76561199068832255]
[21/10/2021-18:50:34]	[ARMED]		[21/10/2021-18:50:34]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3586.395508, 7.833758, 2187.279785>, Target: MoreDoorVault | Player: o [76561199068832255]
[21/10/2021-18:50:37]	[EXPLODED]	[21/10/2021-18:50:37]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3585.032715, 7.398689, 2194.494629>, Target: Fence_Gate_Metal, Damage done: 2 | Player: o [76561199068832255]
[21/10/2021-18:50:37]	[DESTROYED]	[21/10/2021-18:50:37]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3585.032715, 7.398689, 2194.494629>, Target: Fence_Gate_Metal | Player: o [76561199068832255]
[21/10/2021-18:50:41]	[ARMED]		[21/10/2021-18:50:41]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3585.656982, 7.367462, 2187.294189>, Target: MoreDoorVault | Player: o [76561199068832255]
[21/10/2021-18:50:42]	[ARMED]		[21/10/2021-18:50:42]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <3584.713623, 8.038816, 2187.312744>, Target: MoreDoorVault | Player: o [76561199068832255]
[21/10/2021-18:55:34]	[EXPLODED]	[21/10/2021-18:55:34]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3586.395508, 7.833758, 2187.279785>, Target: MoreDoorVault, Damage done: 2 | Player: o [76561199068832255]
[21/10/2021-18:55:41]	[EXPLODED]	[21/10/2021-18:55:41]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3585.656982, 7.367462, 2187.294189>, Target: MoreDoorVault, Damage done: 2 | Player: o [76561199068832255]
[21/10/2021-18:55:42]	[EXPLODED]	[21/10/2021-18:55:42]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <3584.713623, 8.038816, 2187.312744>, Target: MoreDoorVault, Damage done: 2 | Player: o [76561199068832255]
[21/10/2021-18:55:42]	[DESTROYED]	[21/10/2021-18:55:42]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <3584.713623, 8.038816, 2187.312744>, Target: MoreDoorVault | Player: o [76561199068832255]
