[22/09/2021-20:39:58]	[PLACED]	[22/09/2021-20:39:58]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <4068.485107, 325.181427, 8930.534180>, Target: Fence_Gate_Metal | Player: SonJd [76561198214438271]
[22/09/2021-20:40:10]	[ARMED]		[22/09/2021-20:40:10]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <4068.957275, 326.003174, 8930.216797>, Target: Fence_Gate_Metal | Player: SonJd [76561198214438271]
[22/09/2021-20:45:10]	[EXPLODED]	[22/09/2021-20:45:10]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <4068.957275, 326.003174, 8930.216797>, Target: Fence_Gate_Metal, Damage done: 2 | Player: SonJd [76561198214438271]
[22/09/2021-20:45:10]	[DESTROYED]	[22/09/2021-20:45:10]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <4068.957275, 326.003174, 8930.216797>, Target: Fence_Gate_Metal | Player: SonJd [76561198214438271]
[22/09/2021-20:46:04]	[PLACED]	[22/09/2021-20:46:04]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <4067.851318, 325.347015, 8927.736328>, Target: Fence_Gate_Metal | Player: SonJd [76561198214438271]
[22/09/2021-20:46:24]	[ARMED]		[22/09/2021-20:46:24]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <4067.087402, 325.926758, 8927.071289>, Target: Fence_Gate_Metal | Player: SonJd [76561198214438271]
[22/09/2021-20:51:24]	[EXPLODED]	[22/09/2021-20:51:24]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <4067.087402, 325.926758, 8927.071289>, Target: Fence_Gate_Metal, Damage done: 2 | Player: SonJd [76561198214438271]
[22/09/2021-20:51:24]	[DESTROYED]	[22/09/2021-20:51:24]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <4067.087402, 325.926758, 8927.071289>, Target: Fence_Gate_Metal | Player: SonJd [76561198214438271]
[22/09/2021-20:52:32]	[PLACED]	[22/09/2021-20:52:32]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <4064.955078, 325.488831, 8927.638672>, Target: Fence_Gate_Metal | Player: iNSANE [76561198167062860]
[22/09/2021-20:55:05]	[PLACED]	[22/09/2021-20:55:05]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <4064.229004, 325.489380, 8926.889648>, Target: Fence_Gate_Metal | Player: SonJd [76561198214438271]
[22/09/2021-20:55:10]	[ARMED]		[22/09/2021-20:55:10]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <4065.012939, 325.941010, 8926.199219>, Target: Fence_Gate_Metal | Player: SonJd [76561198214438271]
[22/09/2021-20:55:14]	[PLACED]	[22/09/2021-20:55:14]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <4065.250000, 325.489105, 8927.198242>, Target: Fence_Gate_Metal | Player: iNSANE [76561198167062860]
[22/09/2021-20:55:18]	[ARMED]		[22/09/2021-20:55:18]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <4065.877197, 325.978943, 8926.167969>, Target: Fence_Gate_Metal | Player: iNSANE [76561198167062860]
[22/09/2021-21:05:10]	[EXPLODED]	[22/09/2021-21:05:10]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <4065.012939, 325.941010, 8926.199219>, Target: Fence_Gate_Metal, Damage done: 1 | Player: SonJd [76561198214438271]
[22/09/2021-21:05:18]	[EXPLODED]	[22/09/2021-21:05:18]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <4065.877197, 325.978943, 8926.167969>, Target: Fence_Gate_Metal, Damage done: 1 | Player: iNSANE [76561198167062860]
[22/09/2021-21:05:18]	[DESTROYED]	[22/09/2021-21:05:18]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <4065.877197, 325.978943, 8926.167969>, Target: Fence_Gate_Metal | Player: iNSANE [76561198167062860]
