[23/10/2021-11:09:09]	[PLACED]	[23/10/2021-11:09:09]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <1983.919312, 258.970612, 7385.088867>, Target: Fence_Gate_Metal | Player: SonJd [76561198214438271]
[23/10/2021-11:09:44]	[PLACED]	[23/10/2021-11:09:44]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <1984.095459, 258.976227, 7384.329102>, Target: Fence_Gate_Metal | Player: iNSANE [76561198167062860]
[23/10/2021-11:09:57]	[ARMED]		[23/10/2021-11:09:57]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <1984.802368, 259.479340, 7385.917969>, Target: Fence_Gate_Metal | Player: SonJd [76561198214438271]
[23/10/2021-11:10:08]	[PLACED]	[23/10/2021-11:10:08]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <1981.536011, 259.979309, 7374.837891>, Target: MoreDoorSmallMetal | Player: HAUNTxURxDREAMS [76561199166899329]
[23/10/2021-11:10:14]	[ARMED]		[23/10/2021-11:10:14]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <1982.568848, 260.488831, 7374.665039>, Target: MoreDoorSmallMetal | Player: HAUNTxURxDREAMS [76561199166899329]
[23/10/2021-11:10:37]	[PLACED]	[23/10/2021-11:10:37]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <1983.734497, 258.981018, 7383.759277>, Target: Fence_Gate_Metal | Player: iNSANE [76561198167062860]
[23/10/2021-11:10:41]	[ARMED]		[23/10/2021-11:10:41]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <1984.984985, 259.501434, 7385.186523>, Target: Fence_Gate_Metal | Player: iNSANE [76561198167062860]
[23/10/2021-11:15:14]	[EXPLODED]	[23/10/2021-11:15:14]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <1982.568848, 260.488831, 7374.665039>, Target: MoreDoorSmallMetal, Damage done: 2 | Player: HAUNTxURxDREAMS [76561199166899329]
[23/10/2021-11:15:14]	[DESTROYED]	[23/10/2021-11:15:14]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <1982.568848, 260.488831, 7374.665039>, Target: MoreDoorSmallMetal | Player: HAUNTxURxDREAMS [76561199166899329]
[23/10/2021-11:16:12]	[PLACED]	[23/10/2021-11:16:12]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <1983.449341, 260.237518, 7374.470703>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
[23/10/2021-11:16:51]	[PLACED]	[23/10/2021-11:16:51]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <1983.298828, 260.236237, 7374.339844>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
[23/10/2021-11:16:55]	[ARMED]		[23/10/2021-11:16:55]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <1982.670288, 261.153198, 7373.073242>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
[23/10/2021-11:16:57]	[ARMED]		[23/10/2021-11:16:57]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <1982.663940, 260.632599, 7373.078613>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
[23/10/2021-11:19:57]	[EXPLODED]	[23/10/2021-11:19:57]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <1984.802368, 259.479340, 7385.917969>, Target: Fence_Gate_Metal, Damage done: 1 | Player: SonJd [76561198214438271]
[23/10/2021-11:20:41]	[EXPLODED]	[23/10/2021-11:20:41]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <1984.984985, 259.501434, 7385.186523>, Target: Fence_Gate_Metal, Damage done: 1 | Player: iNSANE [76561198167062860]
[23/10/2021-11:20:41]	[DESTROYED]	[23/10/2021-11:20:41]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <1984.984985, 259.501434, 7385.186523>, Target: Fence_Gate_Metal | Player: iNSANE [76561198167062860]
[23/10/2021-11:26:55]	[EXPLODED]	[23/10/2021-11:26:55]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <1982.670288, 261.153198, 7373.073242>, Target: MoreDoorSmallMetal, Damage done: 1 | Player: SonJd [76561198214438271]
[23/10/2021-11:26:57]	[EXPLODED]	[23/10/2021-11:26:57]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <1982.663940, 260.632599, 7373.078613>, Target: MoreDoorSmallMetal, Damage done: 1 | Player: SonJd [76561198214438271]
[23/10/2021-11:26:57]	[DESTROYED]	[23/10/2021-11:26:57]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <1982.663940, 260.632599, 7373.078613>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
[23/10/2021-14:10:16]	[PLACED]	[23/10/2021-14:10:16]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <7803.885254, 314.426697, 6894.146484>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[23/10/2021-14:10:19]	[ARMED]		[23/10/2021-14:10:19]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <7803.222168, 315.193756, 6894.041504>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[23/10/2021-14:20:19]	[EXPLODED]	[23/10/2021-14:20:19]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <7803.222168, 315.193756, 6894.041504>, Target: Fence_Gate, Damage done: 1 | Player: SonJd [76561198214438271]
[23/10/2021-14:20:19]	[DESTROYED]	[23/10/2021-14:20:19]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <7803.222168, 315.193756, 6894.041504>, Target: Fence_Gate | Player: SonJd [76561198214438271]
