[24/08/2021-22:01:35]	[PLACED]	[24/08/2021-22:01:35]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <13746.055664, 7.263075, 3733.406494>, Target: MoreDoorSmallShanty | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:01:39]	[ARMED]		[24/08/2021-22:01:39]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <13746.777344, 7.736069, 3732.086914>, Target: MoreDoorSmallShanty | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:04:24]	[PLACED]	[24/08/2021-22:04:24]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <13741.601563, 6.886846, 3735.825928>, Target: MoreDoorSmallShanty | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:08:41]	[PLACED]	[24/08/2021-22:08:41]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <13746.101563, 7.266395, 3734.017090>, Target: MoreDoorSmallShanty | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:08:53]	[ARMED]		[24/08/2021-22:08:53]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <13740.860352, 7.641500, 3735.031250>, Target: MoreDoorSmallShanty | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:11:10]	[ARMED]		[24/08/2021-22:11:10]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <13746.926758, 7.290483, 3732.129639>, Target: MoreDoorSmallShanty | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:11:39]	[EXPLODED]	[24/08/2021-22:11:39]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <13746.777344, 7.736069, 3732.086914>, Target: MoreDoorSmallShanty, Damage done: 1 | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:13:53]	[EXPLODED]	[24/08/2021-22:13:53]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <13740.860352, 7.641500, 3735.031250>, Target: MoreDoorSmallShanty, Damage done: 2 | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:13:53]	[DESTROYED]	[24/08/2021-22:13:53]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <13740.860352, 7.641500, 3735.031250>, Target: MoreDoorSmallShanty | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:17:45]	[PLACED]	[24/08/2021-22:17:45]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <13742.955078, 6.748709, 3730.393311>, Target: MoreDoorSmallMetal | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:18:07]	[PLACED]	[24/08/2021-22:18:07]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <13742.955078, 6.748709, 3730.393311>, Target: MoreDoorSmallMetal | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:18:11]	[ARMED]		[24/08/2021-22:18:11]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <13741.950195, 7.208901, 3729.683838>, Target: MoreDoorSmallMetal | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:18:22]	[ARMED]		[24/08/2021-22:18:22]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <13741.946289, 6.916116, 3729.632568>, Target: MoreDoorSmallMetal | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:21:10]	[EXPLODED]	[24/08/2021-22:21:10]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <13746.926758, 7.290483, 3732.129639>, Target: MoreDoorSmallShanty, Damage done: 1 | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:21:10]	[DESTROYED]	[24/08/2021-22:21:10]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <13746.926758, 7.290483, 3732.129639>, Target: MoreDoorSmallShanty | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:23:11]	[EXPLODED]	[24/08/2021-22:23:11]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <13741.950195, 7.208901, 3729.683838>, Target: MoreDoorSmallMetal, Damage done: 2 | Player: Imposible Burger [76561199068832255]
[24/08/2021-22:23:11]	[DESTROYED]	[24/08/2021-22:23:11]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <13741.950195, 7.208901, 3729.683838>, Target: MoreDoorSmallMetal | Player: Imposible Burger [76561199068832255]
