[24/10/2021-11:27:02]	[PLACED]	[24/10/2021-11:27:02]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6546.432617, 393.443329, 5597.665527>, Target: MoreDoorSmallMetal | Player: HAUNTxURxDREAMS [76561199166899329]
[24/10/2021-11:27:09]	[ARMED]		[24/10/2021-11:27:09]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6547.855469, 393.933868, 5597.245605>, Target: MoreDoorSmallMetal | Player: HAUNTxURxDREAMS [76561199166899329]
[24/10/2021-11:32:09]	[EXPLODED]	[24/10/2021-11:32:09]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <6547.855469, 393.933868, 5597.245605>, Target: MoreDoorSmallMetal, Damage done: 2 | Player: HAUNTxURxDREAMS [76561199166899329]
[24/10/2021-11:32:09]	[DESTROYED]	[24/10/2021-11:32:09]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <6547.855469, 393.933868, 5597.245605>, Target: MoreDoorSmallMetal | Player: HAUNTxURxDREAMS [76561199166899329]
[24/10/2021-11:32:46]	[PLACED]	[24/10/2021-11:32:46]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <6548.537109, 393.630280, 5596.370605>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[24/10/2021-11:32:49]	[ARMED]		[24/10/2021-11:32:49]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <6549.857422, 394.160919, 5597.102051>, Target: Fence_Gate | Player: SonJd [76561198214438271]
[24/10/2021-11:42:49]	[EXPLODED]	[24/10/2021-11:42:49]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <6549.857422, 394.160919, 5597.102051>, Target: Fence_Gate, Damage done: 1 | Player: CAN'T GET PLAYER NAME [CAN'T GET PLAYER STEAM64]
[24/10/2021-11:42:49]	[DESTROYED]	[24/10/2021-11:42:49]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <6549.857422, 394.160919, 5597.102051>, Target: Fence_Gate | Player: CAN'T GET PLAYER NAME [CAN'T GET PLAYER STEAM64]
[24/10/2021-11:43:18]	[PLACED]	[24/10/2021-11:43:18]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6551.521973, 393.536194, 5596.573730>, Target: MoreDoorSmallMetal | Player: HAUNTxURxDREAMS [76561199166899329]
[24/10/2021-11:43:22]	[ARMED]		[24/10/2021-11:43:22]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6550.783203, 393.993530, 5598.109375>, Target: MoreDoorSmallMetal | Player: HAUNTxURxDREAMS [76561199166899329]
[24/10/2021-11:48:22]	[EXPLODED]	[24/10/2021-11:48:22]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <6550.783203, 393.993530, 5598.109375>, Target: MoreDoorSmallMetal, Damage done: 2 | Player: HAUNTxURxDREAMS [76561199166899329]
[24/10/2021-11:48:22]	[DESTROYED]	[24/10/2021-11:48:22]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <6550.783203, 393.993530, 5598.109375>, Target: MoreDoorSmallMetal | Player: HAUNTxURxDREAMS [76561199166899329]
[24/10/2021-11:49:17]	[PLACED]	[24/10/2021-11:49:17]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6553.636719, 397.644867, 5601.437988>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
[24/10/2021-11:49:20]	[ARMED]		[24/10/2021-11:49:20]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6554.529785, 397.885590, 5602.040039>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
[24/10/2021-11:54:20]	[EXPLODED]	[24/10/2021-11:54:20]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <6554.529785, 397.885590, 5602.040039>, Target: MoreDoorSmallMetal, Damage done: 2 | Player: SonJd [76561198214438271]
[24/10/2021-11:54:20]	[DESTROYED]	[24/10/2021-11:54:20]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <6554.529785, 397.885590, 5602.040039>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
[24/10/2021-11:55:02]	[PLACED]	[24/10/2021-11:55:02]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <6551.262695, 404.714722, 5597.861816>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
[24/10/2021-11:55:08]	[ARMED]		[24/10/2021-11:55:08]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <6550.452637, 405.368713, 5598.696777>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
[24/10/2021-12:00:08]	[EXPLODED]	[24/10/2021-12:00:08]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <6550.452637, 405.368713, 5598.696777>, Target: MoreDoorSmallMetal, Damage done: 2 | Player: SonJd [76561198214438271]
[24/10/2021-12:00:08]	[DESTROYED]	[24/10/2021-12:00:08]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <6550.452637, 405.368713, 5598.696777>, Target: MoreDoorSmallMetal | Player: SonJd [76561198214438271]
