[26/08/2021-19:03:29]	[PLACED]	[26/08/2021-19:03:29]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <13018.348633, 52.072567, 14988.024414>, Target: MoreDoorSmallMetal | Player: KingHotDog [76561199068832255]
[26/08/2021-19:03:50]	[PLACED]	[26/08/2021-19:03:50]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <13018.348633, 52.072567, 14988.024414>, Target: MoreDoorSmallMetal | Player: KingHotDog [76561199068832255]
[26/08/2021-19:04:11]	[PLACED]	[26/08/2021-19:04:11]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <13018.348633, 52.072567, 14988.024414>, Target: MoreDoorSmallMetal | Player: KingHotDog [76561199068832255]
[26/08/2021-19:04:56]	[PLACED]	[26/08/2021-19:04:56]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <13017.901367, 51.967220, 14987.517578>, Target: MoreDoorSmallMetal | Player: KingHotDog [76561199068832255]
[26/08/2021-19:04:59]	[ARMED]		[26/08/2021-19:04:59]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <13018.327148, 52.443886, 14989.225586>, Target: MoreDoorSmallMetal | Player: KingHotDog [76561199068832255]
[26/08/2021-19:05:38]	[PLACED]	[26/08/2021-19:05:38]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <13018.472656, 52.172981, 14987.846680>, Target: MoreDoorSmallMetal | Player: KingHotDog [76561199068832255]
[26/08/2021-19:05:41]	[ARMED]		[26/08/2021-19:05:41]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <13018.641602, 52.495152, 14988.785156>, Target: MoreDoorSmallMetal | Player: KingHotDog [76561199068832255]
[26/08/2021-19:06:00]	[PLACED]	[26/08/2021-19:06:00]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <13018.297852, 52.089554, 14987.814453>, Target: MoreDoorSmallMetal | Player: KingHotDog [76561199068832255]
[26/08/2021-19:06:03]	[ARMED]		[26/08/2021-19:06:03]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <13018.488281, 51.932362, 14988.999023>, Target: MoreDoorSmallMetal | Player: KingHotDog [76561199068832255]
[26/08/2021-19:11:03]	[EXPLODED]	[26/08/2021-19:11:03]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <13018.488281, 51.932362, 14988.999023>, Target: MoreDoorSmallMetal, Damage done: 2 | Player: KingHotDog [76561199068832255]
[26/08/2021-19:14:59]	[EXPLODED]	[26/08/2021-19:14:59]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <13018.327148, 52.443886, 14989.225586>, Target: MoreDoorSmallMetal, Damage done: 1 | Player: KingHotDog [76561199068832255]
[26/08/2021-19:15:41]	[EXPLODED]	[26/08/2021-19:15:41]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <13018.641602, 52.495152, 14988.785156>, Target: MoreDoorSmallMetal, Damage done: 1 | Player: KingHotDog [76561199068832255]
[26/08/2021-19:15:41]	[DESTROYED]	[26/08/2021-19:15:41]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <13018.641602, 52.495152, 14988.785156>, Target: MoreDoorSmallMetal | Player: KingHotDog [76561199068832255]
