[29/08/2021-22:03:25]	[PLACED]	[29/08/2021-22:03:25]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <12891.047852, 63.525375, 15110.756836>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:18:06]	[ARMED]		[29/08/2021-22:18:06]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <12889.762695, 63.771526, 15109.746094>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:23:06]	[EXPLODED]	[29/08/2021-22:23:06]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <12889.762695, 63.771526, 15109.746094>, Target: Fence_Gate_Metal, Damage done: 2 | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:23:06]	[DESTROYED]	[29/08/2021-22:23:06]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <12889.762695, 63.771526, 15109.746094>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:24:03]	[PLACED]	[29/08/2021-22:24:03]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <12887.867188, 64.000320, 15110.133789>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:24:11]	[ARMED]		[29/08/2021-22:24:11]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <12887.590820, 64.445404, 15108.550781>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:29:11]	[EXPLODED]	[29/08/2021-22:29:11]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <12887.590820, 64.445404, 15108.550781>, Target: Fence_Gate_Metal, Damage done: 2 | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:29:11]	[DESTROYED]	[29/08/2021-22:29:11]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <12887.590820, 64.445404, 15108.550781>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:29:50]	[PLACED]	[29/08/2021-22:29:50]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <12886.483398, 64.085564, 15106.874023>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:29:56]	[ARMED]		[29/08/2021-22:29:56]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <12885.297852, 64.543427, 15106.879883>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:34:56]	[EXPLODED]	[29/08/2021-22:34:56]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <12885.297852, 64.543427, 15106.879883>, Target: Fence_Gate_Metal, Damage done: 2 | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:34:56]	[DESTROYED]	[29/08/2021-22:34:56]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <12885.297852, 64.543427, 15106.879883>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:36:01]	[PLACED]	[29/08/2021-22:36:01]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <12881.425781, 68.343643, 15106.227539>, Target: Fence_Gate | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:36:07]	[ARMED]		[29/08/2021-22:36:07]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <12882.443359, 69.143517, 15105.035156>, Target: Fence_Gate | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:46:07]	[EXPLODED]	[29/08/2021-22:46:07]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <12882.443359, 69.143517, 15105.035156>, Target: Fence_Gate, Damage done: 1 | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:46:07]	[DESTROYED]	[29/08/2021-22:46:07]	A target was destroyed!	 | HDSN_BreachingCharge, Position: <12882.443359, 69.143517, 15105.035156>, Target: Fence_Gate | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:46:48]	[PLACED]	[29/08/2021-22:46:48]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <12884.353516, 68.900566, 15103.079102>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:47:00]	[ARMED]		[29/08/2021-22:47:00]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <12884.936523, 69.333450, 15104.429688>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:52:00]	[EXPLODED]	[29/08/2021-22:52:00]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <12884.936523, 69.333450, 15104.429688>, Target: Fence_Gate_Metal, Damage done: 2 | Player: ^DBD^ Maxo [76561198148661627]
[29/08/2021-22:52:00]	[DESTROYED]	[29/08/2021-22:52:00]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <12884.936523, 69.333450, 15104.429688>, Target: Fence_Gate_Metal | Player: ^DBD^ Maxo [76561198148661627]
