[10-14-2021][00.16.08] New Admin Log File Created!
[10-14-2021][04.17.41] Log file reloaded ( Server Restart )
[10-14-2021][08.19.12] Log file reloaded ( Server Restart )
[10-14-2021][12.20.45] Log file reloaded ( Server Restart )
[10-14-2021][14.32.30] Log file reloaded ( Server Restart )
[16:33:24] Admin (o, 76561199068832255) joined the server!
[16:37:54] Admin (o, 76561199068832255) joined the server!
[16:50:00] Admin (o, 76561199068832255) joined the server!
[18:06:40] Admin (o, 76561199068832255) joined the server!
[18:09:24] Admin (o, 76561199068832255) joined the server!
[18:14:35] Admin (o, 76561199068832255) joined the server!
[18:16:24] Admin (o, 76561199068832255) joined the server!
[18:22:09] Admin (o, 76561199068832255) joined the server!
[10-14-2021][18.35.03] Log file reloaded ( Server Restart )
[18:43:59] Admin (o, 76561199068832255) joined the server!
[19:13:18] Admin (o, 76561199068832255) joined the server!
[19:27:25] Admin (o, 76561199068832255) joined the server!
[20:15:22] Admin (o, 76561199068832255) joined the server!
[20:47:42] Admin (o, 76561199068832255) joined the server!
[21:12:12] Admin (o, 76561199068832255) joined the server!
[21:56:18] Admin (o, 76561199068832255) joined the server!
