[COT 2021-09-24 02:32:31] 76561198086263481: Healed [guid=cuxa5aqfpUuIYpB4RjFre_Jf3q3qxA9mFJhaHCNWJ-Y=]
[COT 2021-09-24 02:45:47] 76561199068832255: Healed [guid=UYRRa-F5_-MtkOHub98pENKglKsLALLRB6hjWAKvLGc=]
[COT 2021-09-24 02:53:00] 76561199068832255: Set rain to 0 0 0
[COT 2021-09-24 02:53:00] 76561199068832255: Set storm to 0 0.8 4000
[COT 2021-09-24 02:53:00] 76561199068832255: Set fog to 0.01 0 0
[COT 2021-09-24 02:53:00] 76561199068832255: Set overcast to 0.158755 0 0
[COT 2021-09-24 02:53:00] 76561199068832255: Set the date to 2021/9/20 8:56
[COT 2021-09-24 02:53:00] 76561199068832255: Set wind to 8.43 8.43 1
[COT 2021-09-24 03:22:38] 76561199068832255: Entered the Free Camera
[COT 2021-09-24 03:56:26] 76561199068832255: Set rain to 0 0 0
[COT 2021-09-24 03:56:26] 76561199068832255: Set storm to 0 0.8 4000
[COT 2021-09-24 03:56:26] 76561199068832255: Set fog to 0 0 0
[COT 2021-09-24 03:56:26] 76561199068832255: Set overcast to 0.507177 0 0
[COT 2021-09-24 03:56:26] 76561199068832255: Set the date to 2021/9/20 13:9
[COT 2021-09-24 03:56:26] 76561199068832255: Set wind to 13.5364 13.5364 1
[COT 2021-09-24 04:08:08] 76561199068832255: Set Health To 0 [guid=UYRRa-F5_-MtkOHub98pENKglKsLALLRB6hjWAKvLGc=]
[COT 2021-09-24 04:08:14] 76561199068832255: Left the Free Camera
[COT 2021-09-24 04:47:37] 76561199068832255: Spawned Entity Infected (ZmbF_SurvivorNormal_Base<2280aeb0>, -1, 100) at <12232.250000, 22.146900, 14273.930664>
[COT 2021-09-24 04:47:39] 76561199068832255: Spawned Entity Infected (ZmbM_SkaterYoung_Base<228173a0>, -1, 100) at <12232.250000, 22.146900, 14273.930664>
[COT 2021-09-24 04:47:44] 76561199068832255: Spawned Entity Infected (ZmbM_HandymanNormal_Base<2281fca0>, -1, 100) at <12232.250000, 22.146900, 14273.930664>
[COT 2021-09-24 04:47:47] 76561199068832255: Spawned Entity Infected (ZmbM_Jacket_Base<22825240>, -1, 100) at <12232.250000, 22.146900, 14273.930664>
[COT 2021-09-24 04:48:03] 76561199068832255: Spawned Entity Infected (ZmbM_HermitSkinny_Base<a244e390>, -1, 100) at <12235.675781, 22.177877, 14281.385742>
[COT 2021-09-24 04:48:03] 76561199068832255: Spawned Entity Infected (ZmbM_HermitSkinny_Base<a2479920>, -1, 100) at <12235.675781, 22.177877, 14281.385742>
[COT 2021-09-24 04:48:03] 76561199068832255: Spawned Entity Infected (ZmbM_HermitSkinny_Base<a247aa40>, -1, 100) at <12235.675781, 22.177877, 14281.385742>
[COT 2021-09-24 04:48:31] 76561199068832255: Spawned Entity Infected (ZmbM_FarmerFat_Base<a2561670>, -1, 100) at <12230.811523, 22.125454, 14272.209961>
[COT 2021-09-24 04:48:31] 76561199068832255: Spawned Entity Infected (ZmbM_FarmerFat_Base<78ea42e0>, -1, 100) at <12230.811523, 22.125454, 14272.209961>
[COT 2021-09-24 04:48:32] 76561199068832255: Spawned Entity Infected (ZmbM_FarmerFat_Base<78ea2930>, -1, 100) at <12230.811523, 22.125454, 14272.209961>
[COT 2021-09-24 04:48:32] 76561199068832255: Spawned Entity Infected (ZmbM_FarmerFat_Base<78eac350>, -1, 100) at <12230.811523, 22.125454, 14272.209961>
[COT 2021-09-24 04:50:08] 76561199068832255: Spawned Entity Infected (ZmbF_ParamedicNormal_Base<2fd59e90>, -1, 100) at <12234.406250, 22.171049, 14282.212891>
[COT 2021-09-24 04:50:09] 76561199068832255: Spawned Entity Infected (ZmbF_ParamedicNormal_Base<2fd34fc0>, -1, 100) at <12234.103516, 22.710432, 14282.298828>
[COT 2021-09-24 04:50:09] 76561199068832255: Spawned Entity Infected (ZmbF_ParamedicNormal_Base<2fd414b0>, -1, 100) at <12233.800781, 23.249949, 14282.383789>
[COT 2021-09-24 04:50:10] 76561199068832255: Spawned Entity Infected (ZmbM_ParamedicNormal_Base<8059d7d0>, -1, 100) at <12233.494141, 23.794987, 14282.468750>
[COT 2021-09-24 04:50:14] 76561199068832255: Spawned Entity Infected (ZmbM_PolicemanSpecForce_Base<805a8310>, -1, 100) at <12234.406250, 22.171049, 14282.212891>
[COT 2021-09-24 04:50:15] 76561199068832255: Spawned Entity Infected (ZmbM_PolicemanSpecForce_Base<228159f0>, -1, 100) at <12234.103516, 22.710432, 14282.298828>
[COT 2021-09-24 04:52:46] 76561199068832255: Spawned Entity Barrel (Barrel_Green<38534610>, 0, 1300) at <12302.896484, 89.749550, 10659.399414>
[COT 2021-09-24 04:54:30] 76561199068832255: Spawned Entity Barrel (Barrel_Green<3b8b8d10>, 0, 1300) at <12304.735352, 89.760574, 10661.040039>
